Optimization,Result
-adce -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -dce -deadargelim, secure
-codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -codegenprepare -constmerge -dce -deadargelim, secure
-adce -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -codegenprepare -constmerge -dce -deadargelim, secure
-always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-adce -always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -dce -deadargelim, secure
-argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-adce -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -dce -deadargelim, secure
-break-crit-edges -codegenprepare -constmerge -dce -deadargelim, secure
